174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
8560    | 82.165.229.138   | 82.165.0.0/16       | DE | ripencc  | 2003-08-06 | ONEANDONE-AS Brauerstrasse 48, DE
8560    | 82.165.230.18    | 82.165.0.0/16       | DE | ripencc  | 2003-08-06 | ONEANDONE-AS Brauerstrasse 48, DE
8891    | 2a01:c9c0:a3:8::70                       | 2a01:c9c0:a3::/48   | FR | ripencc  | 2005-12-30 | FT/BGP/DM, FR
9052    | 2001:67c:2294:1000::f109                 | 2001:67c:2294::/48  | ES | ripencc  | 2011-05-18 | , ES
9121    | 85.111.27.126    | 85.111.27.0/24      | TR | ripencc  | 2004-09-20 | TTNET , TR
9121    | 85.111.30.111    | 85.111.30.0/24      | TR | ripencc  | 2004-09-20 | TTNET , TR
9304    | 203.90.242.119   | 203.90.242.0/24     | HK | apnic    |            | HUTCHISON-AS-AP Hutchison Global Communications, HK
9370    | 59.106.194.19    | 59.106.192.0/19     | JP | apnic    | 2004-10-13 | SAKURA-B SAKURA Internet Inc., JP
9583    | 2001:e48:22:2::4                         | 2001:e48:22:2::/64  | IN | apnic    | 2004-02-11 | SIFY-AS-IN Sify Limited, IN
9583    | 210.210.18.53    | 210.210.18.0/24     | IN | apnic    | 2000-05-04 | SIFY-AS-IN Sify Limited, IN
9607    | 124.147.10.210   | 124.147.0.0/19      | JP | apnic    | 2006-03-15 | BBTOWER BroadBand Tower, Inc., JP
9752    | 2001:df0:23e:9002::15                    | 2001:df0:23e::/48   | IN | apnic    | 2011-07-21 | FKNET-IN Flipkart Internet Pvt Ltd, IN
9924    | 103.23.108.200   | 103.23.108.0/22     | TW | apnic    | 2011-11-22 | TFN-TW Taiwan Fixed Network, Telco and Network Service Provider., TW
10782   | 15.217.49.153    | 15.217.0.0/16       | US | arin     |            | HP-DIGITAL-10782 - Hewlett-Packard Company, US
10794   | 171.161.198.100  | 171.161.198.0/24    | US | arin     |            | BANKAMERICA - Bank of America, US
10922   | 208.93.0.150     | 208.93.0.0/24       | US | arin     | 2008-07-15 | LIVEJOURNAL - Live Journal Inc., US
10934   | 159.53.224.21    | 159.53.224.0/21     | US | arin     |            | AS10934 - JPMorgan Chase & Co., US
11669   | 206.131.180.21   | 206.131.180.0/22    | US | arin     |            | MOVE-SITES - Move Sales, Inc., US
12079   | 162.115.208.101  | 162.115.192.0/18    | US | arin     |            | CELLCO-PART - Cellco Partnership DBA Verizon Wireless, US
12179   | 75.98.51.173     | 75.98.48.0/21       | US | arin     | 2009-02-24 | INTERNAP-2BLK - Internap Network Services Corporation, US
12217   | 153.2.224.50     | 153.2.224.0/24      | US | arin     |            | UPS - UNITED PARCEL SERVICE, US
12586   | 193.24.208.252   | 193.24.208.0/22     | DE | ripencc  | 2004-02-11 | ASGHOSTNET , DE
12637   | 37.9.239.32      | 37.9.239.0/24       | IT | ripencc  | 2011-12-15 | SEEWEB Web hosting, colocation and cloud services, IT
12678   | 31.222.76.32     | 31.222.76.0/23      | GB | ripencc  | 2011-05-13 | BADOO-U , GB
12827   | 212.77.98.9      | 212.77.98.0/24      | PL | ripencc  |            | WIRTUALNAPOLSKA GDANSK, Poland, PL
12876   | 163.172.21.184   | 163.172.0.0/16      | GB | ripencc  |            | AS12876 , FR
12978   | 83.66.162.3      | 83.66.0.0/16        | TR | ripencc  | 2004-04-01 | DOGAN-ONLINE , TR
12990   | 213.180.141.140  | 213.180.141.0/24    | PL | ripencc  | 2000-01-25 | ONET-PL-AS1 Onet.pl portal network, PL
13238   | 2a02:6b8::2:105                          | 2a02:6b8::/32       | RU | ripencc  | 2008-08-15 | YANDEX , RU
13238   | 2a02:6b8:a::a                            | 2a02:6b8:a::/48     | RU | ripencc  | 2008-08-15 | YANDEX , RU
13335   | 104.16.107.24    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.11.250    | 104.16.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.117.25    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
